方向,公車代碼,站點名稱,緯度,經度
去程,0100000A00,瑞湖街口,25.067523,121.576485
去程,0100000A00,麗寶大樓,25.070424,121.58271
去程,0100000A00,公館山,25.071952,121.581177
去程,0100000A00,瑞光路,25.074746,121.5776
去程,0100000A00,內湖運動中心,25.07724,121.5755879
去程,0100000A00,港墘派出所,25.0787,121.57642
去程,0100000A00,西湖圖書館(湖光教會),25.078723,121.5785305
去程,0100000A00,湖光國宅,25.078356,121.5815972
去程,0100000A00,捷運文德站(碧湖公園),25.078401,121.5841327
去程,0100000A00,內湖高中,25.078703,121.5875658
去程,0100000A00,方濟中學,25.076435,121.5900771
去程,0100000A00,將軍嶺,25.073372,121.58972
去程,0100000A00,三總內湖站,25.071852,121.592095
去程,0100000A00,國防醫學中心,25.071037,121.5898699
去程,0100000A00,內湖行政大樓,25.06916,121.58832
去程,0100000A00,三民國中,25.06901,121.58556
去程,0100000A00,時報廣場,25.06856,121.5831298
去程,0100000A00,民權大橋,25.06702,121.5791
去程,0100000A00,新益里,25.062286,121.566155
去程,0100000A00,民生國中,25.059661,121.5679233
去程,0100000A00,新東街口,25.059272,121.5663967
去程,0100000A00,三民路,25.0575,121.5634
去程,0100000A00,三民健康路口(西松高中),25.055245,121.5635808
去程,0100000A00,健康新城,25.054217,121.5621625
去程,0100000A00,長壽公園,25.054069,121.559764
去程,0100000A00,三軍總醫院松山分院,25.053881,121.5578743
去程,0100000A00,南京新村,25.052778,121.5568095
去程,0100000A00,博仁醫院,25.04937,121.55774
去程,0100000A00,光復路口,25.048151,121.5567576
去程,0100000A00,美仁里,25.04821,121.553906
去程,0100000A00,臺視,25.048248,121.551437
去程,0100000A00,市民敦化路口,25.045271,121.548797
去程,0100000A00,忠孝敦化路口,25.041865,121.5487541
去程,0100000A00,仁愛敦化路口,25.039043,121.548697
去程,0100000A00,信義敦化路口,25.034123,121.5485022
去程,0100000A00,信義大安路口,25.033383,121.5461666
去程,0100000A00,捷運大安站(信義),25.033404,121.5438266
去程,0100000A00,師大附中,25.033382,121.542275
去程,0100000A00,信義建國路口,25.033595,121.538468
去程,0100000A00,捷運大安森林公園站,25.03355,121.5359159
去程,0100000A00,信義新生路口,25.033627,121.5331327
去程,0100000A00,信義永康街口,25.033765,121.5301447
去程,0100000A00,捷運東門站,25.034232,121.526986
去程,0100000A00,信義杭州路口,25.035417,121.5246296
去程,0100000A00,中正紀念堂,25.03739,121.52056
去程,0100000A00,捷運台大醫院站,25.041927,121.5163535
去程,0100000A00,博物館(館前),25.044177,121.5150573
去程,0100000A00,臺北車站(忠孝),25.046563,121.5156894
去程,0100000A00,臺北車站(公園),25.043929,121.516775
去程,0100000A00,捷運台大醫院站,25.041935,121.5161481
去程,0100000A00,中正紀念堂,25.037153,121.520771
去程,0100000A00,信義杭州路口,25.0357,121.5238361
去程,0100000A00,捷運東門站,25.034134,121.5269937
去程,0100000A00,信義永康街口(捷運東門站),25.033693,121.529727
去程,0100000A00,信義新生路口,25.03353,121.5323283
去程,0100000A00,捷運大安森林公園站,25.033496,121.5356316
去程,0100000A00,信義建國路口,25.033441,121.539045
去程,0100000A00,捷運大安站(信義),25.033323,121.5432319
去程,0100000A00,信義大安路口,25.0332,121.5456
去程,0100000A00,信義敦化路口,25.033262,121.548298
去程,0100000A00,仁愛國中,25.035951,121.5490897
去程,0100000A00,安和敦化路口,25.039761,121.5489579
去程,0100000A00,捷運忠孝敦化站,25.043012,121.549174
去程,0100000A00,市民大道口,25.045757,121.5491941
去程,0100000A00,臺視,25.04807,121.5511
去程,0100000A00,美仁里,25.048,121.55415
去程,0100000A00,榮民服務處,25.048703,121.557946
去程,0100000A00,南京新村,25.052989,121.556952
去程,0100000A00,三軍總醫院松山分院,25.05367,121.55726
去程,0100000A00,長壽公園,25.05381,121.55985
去程,0100000A00,健康新城,25.053978,121.5626621
去程,0100000A00,三民健康路口(西松高中),25.054814,121.5638473
去程,0100000A00,三民路,25.05753,121.56368
去程,0100000A00,新東街口,25.05902,121.5664423
去程,0100000A00,民生國中,25.060189,121.5676949
去程,0100000A00,新益里,25.062445,121.566269
去程,0100000A00,民權大橋,25.066876,121.5794778
去程,0100000A00,時報廣場,25.068084,121.5821211
去程,0100000A00,三民國中,25.068803,121.5854057
去程,0100000A00,內湖行政大樓,25.068934,121.5889192
去程,0100000A00,國防醫學中心,25.07121,121.5900311
去程,0100000A00,三總內湖站,25.071852,121.592095
去程,0100000A00,將軍嶺,25.073809,121.5900167
去程,0100000A00,方濟中學,25.076884,121.5902313
去程,0100000A00,內湖高中,25.079013,121.5883097
去程,0100000A00,捷運文德站(碧湖公園),25.078585,121.584249
去程,0100000A00,湖光國宅,25.07859,121.58078
去程,0100000A00,西湖圖書館(湖光教會),25.07889,121.578499
去程,0100000A00,港墘派出所,25.078636,121.57619
去程,0100000A00,瑞光路,25.074821,121.577343
去程,0100000A00,公館山,25.071988,121.5809507
去程,0100000A00,麗寶大樓,25.070391,121.582671
去程,0100000A00,瑞湖街口,25.067659,121.576798
返程,0100000A00,瑞湖街口,25.067523,121.576485
返程,0100000A00,麗寶大樓,25.070424,121.58271
返程,0100000A00,公館山,25.071952,121.581177
返程,0100000A00,瑞光路,25.074746,121.5776
返程,0100000A00,內湖運動中心,25.07724,121.5755879
返程,0100000A00,港墘派出所,25.0787,121.57642
返程,0100000A00,西湖圖書館(湖光教會),25.078723,121.5785305
返程,0100000A00,湖光國宅,25.078356,121.5815972
返程,0100000A00,捷運文德站(碧湖公園),25.078401,121.5841327
返程,0100000A00,內湖高中,25.078703,121.5875658
返程,0100000A00,方濟中學,25.076435,121.5900771
返程,0100000A00,將軍嶺,25.073372,121.58972
返程,0100000A00,三總內湖站,25.071852,121.592095
返程,0100000A00,國防醫學中心,25.071037,121.5898699
返程,0100000A00,內湖行政大樓,25.06916,121.58832
返程,0100000A00,三民國中,25.06901,121.58556
返程,0100000A00,時報廣場,25.06856,121.5831298
返程,0100000A00,民權大橋,25.06702,121.5791
返程,0100000A00,新益里,25.062286,121.566155
返程,0100000A00,民生國中,25.059661,121.5679233
返程,0100000A00,新東街口,25.059272,121.5663967
返程,0100000A00,三民路,25.0575,121.5634
返程,0100000A00,三民健康路口(西松高中),25.055245,121.5635808
返程,0100000A00,健康新城,25.054217,121.5621625
返程,0100000A00,長壽公園,25.054069,121.559764
返程,0100000A00,三軍總醫院松山分院,25.053881,121.5578743
返程,0100000A00,南京新村,25.052778,121.5568095
返程,0100000A00,博仁醫院,25.04937,121.55774
返程,0100000A00,光復路口,25.048151,121.5567576
返程,0100000A00,美仁里,25.04821,121.553906
返程,0100000A00,臺視,25.048248,121.551437
返程,0100000A00,市民敦化路口,25.045271,121.548797
返程,0100000A00,忠孝敦化路口,25.041865,121.5487541
返程,0100000A00,仁愛敦化路口,25.039043,121.548697
返程,0100000A00,信義敦化路口,25.034123,121.5485022
返程,0100000A00,信義大安路口,25.033383,121.5461666
返程,0100000A00,捷運大安站(信義),25.033404,121.5438266
返程,0100000A00,師大附中,25.033382,121.542275
返程,0100000A00,信義建國路口,25.033595,121.538468
返程,0100000A00,捷運大安森林公園站,25.03355,121.5359159
返程,0100000A00,信義新生路口,25.033627,121.5331327
返程,0100000A00,信義永康街口,25.033765,121.5301447
返程,0100000A00,捷運東門站,25.034232,121.526986
返程,0100000A00,信義杭州路口,25.035417,121.5246296
返程,0100000A00,中正紀念堂,25.03739,121.52056
返程,0100000A00,捷運台大醫院站,25.041927,121.5163535
返程,0100000A00,博物館(館前),25.044177,121.5150573
返程,0100000A00,臺北車站(忠孝),25.046563,121.5156894
返程,0100000A00,臺北車站(公園),25.043929,121.516775
返程,0100000A00,捷運台大醫院站,25.041935,121.5161481
返程,0100000A00,中正紀念堂,25.037153,121.520771
返程,0100000A00,信義杭州路口,25.0357,121.5238361
返程,0100000A00,捷運東門站,25.034134,121.5269937
返程,0100000A00,信義永康街口(捷運東門站),25.033693,121.529727
返程,0100000A00,信義新生路口,25.03353,121.5323283
返程,0100000A00,捷運大安森林公園站,25.033496,121.5356316
返程,0100000A00,信義建國路口,25.033441,121.539045
返程,0100000A00,捷運大安站(信義),25.033323,121.5432319
返程,0100000A00,信義大安路口,25.0332,121.5456
返程,0100000A00,信義敦化路口,25.033262,121.548298
返程,0100000A00,仁愛國中,25.035951,121.5490897
返程,0100000A00,安和敦化路口,25.039761,121.5489579
返程,0100000A00,捷運忠孝敦化站,25.043012,121.549174
返程,0100000A00,市民大道口,25.045757,121.5491941
返程,0100000A00,臺視,25.04807,121.5511
返程,0100000A00,美仁里,25.048,121.55415
返程,0100000A00,榮民服務處,25.048703,121.557946
返程,0100000A00,南京新村,25.052989,121.556952
返程,0100000A00,三軍總醫院松山分院,25.05367,121.55726
返程,0100000A00,長壽公園,25.05381,121.55985
返程,0100000A00,健康新城,25.053978,121.5626621
返程,0100000A00,三民健康路口(西松高中),25.054814,121.5638473
返程,0100000A00,三民路,25.05753,121.56368
返程,0100000A00,新東街口,25.05902,121.5664423
返程,0100000A00,民生國中,25.060189,121.5676949
返程,0100000A00,新益里,25.062445,121.566269
返程,0100000A00,民權大橋,25.066876,121.5794778
返程,0100000A00,時報廣場,25.068084,121.5821211
返程,0100000A00,三民國中,25.068803,121.5854057
返程,0100000A00,內湖行政大樓,25.068934,121.5889192
返程,0100000A00,國防醫學中心,25.07121,121.5900311
返程,0100000A00,三總內湖站,25.071852,121.592095
返程,0100000A00,將軍嶺,25.073809,121.5900167
返程,0100000A00,方濟中學,25.076884,121.5902313
返程,0100000A00,內湖高中,25.079013,121.5883097
返程,0100000A00,捷運文德站(碧湖公園),25.078585,121.584249
返程,0100000A00,湖光國宅,25.07859,121.58078
返程,0100000A00,西湖圖書館(湖光教會),25.07889,121.578499
返程,0100000A00,港墘派出所,25.078636,121.57619
返程,0100000A00,瑞光路,25.074821,121.577343
返程,0100000A00,公館山,25.071988,121.5809507
返程,0100000A00,麗寶大樓,25.070391,121.582671
返程,0100000A00,瑞湖街口,25.067659,121.576798
